model,strategy,cv_mean,cv_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_kappa,time_s
SVM,GridSearch,0.786067843544479,0.062307949637729995,0.7359307359307359,0.6724137931034483,0.48148148148148145,0.5611510791366906,0.8325102880658436,0.37960639281468767,77.64752125740051
SVM,RandomSearch,0.7841640706126687,0.046323006111632946,0.7272727272727273,0.6551724137931034,0.4691358024691358,0.5467625899280576,0.8332510288065843,0.35926561880861185,0.9620873928070068
SVM,Optuna(TPE),0.7860159224645205,0.04584312191709481,0.7272727272727273,0.6551724137931034,0.4691358024691358,0.5467625899280576,0.8321810699588477,0.35926561880861185,
SVM,TPOT(Genetic),0.7563170647282796,0.06995938187270974,0.7532467532467533,0.6395348837209303,0.6790123456790124,0.6586826347305389,0.8347325102880658,0.46573341448569683,878.9393124580383
MLP,GridSearch,0.7897196261682242,0.04227051268106905,0.7489177489177489,0.6455696202531646,0.6296296296296297,0.6375,0.8409876543209875,0.4454929227712937,155.48255705833435
MLP,RandomSearch,0.7822949117341641,0.04638258603077213,0.7489177489177489,0.6619718309859155,0.5802469135802469,0.618421052631579,0.8372839506172839,0.4325285895806862,6.930534601211548
MLP,Optuna(TPE),0.7915887850467289,0.04222916631200913,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.8041975308641975,0.44393766628658304,
MLP,TPOT(Genetic),0.7563170647282796,0.06995938187270974,0.7532467532467533,0.6395348837209303,0.6790123456790124,0.6586826347305389,0.8347325102880658,0.46573341448569683,903.8761239051819
